PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
303,0,3,"Anderson, Mr. Robert",male,30.9,0,0,17.47,,C
15,1,1,"Gonzalez, Mr. Mary",male,14.8,0,0,49.15,,C
161,1,2,"Gonzalez, Mrs. Jennifer",female,31.5,0,0,33.02,,S
245,1,1,"Martinez, Mr. Charles",male,20.4,0,0,53.41,,S
103,1,2,"Thomas, Mr. William",MALE  ,,0,0,37.17,,S
130,1,3,"Johnson, Mrs. David",female,9.3,0,1,50.36,,S
85,0,2,"Moore, Mr. Jessica",male,7.2,0,0,36.91,,C
282,1,2,"Johnson, Mr. Karen",male,23.5,0,0,48.62,,Q
315,0,3,"Brown, Mr. John",male,,4,0,30.59,A44,C
93,0,3,"Johnson, Mr. Patricia",male,,0,0,50.37,,S
217,0,2,"Jackson, Mr. David",male,50.7,1,0,57.82,A51,S
25,0,3,"Smith, Mr. Richard",male,25.6,4,1,28.63,,S
292,0,1,"Taylor, Mr. Richard",male,,0,0,,,
81,0,3,"Lopez, Mr. Sarah",male,,0,0,41.93,,S
48,1,3,"Gonzalez, Mrs. John",female,50.1,0,1,16.44,,Q
34,1,3,"Smith, Mr. Robert",male,13.5,0,0,23.55,C57,S
221,0,3,"Taylor, Mr. Jennifer",male,28.3,3,1,71.85,,S
78,1,1,"Smith, Mr. Michael",male,11.5,0,0,47.35,,S
366,0,2,"Johnson, Mr. Richard",male,12.8,1,0,39.41,,C
14,0,1,"Davis, Mr. Linda",male,23.0,1,0,71.3,,S
325,1,3,"Davis, Mr. Jessica",male,,1,0,16.19,,S
104,1,3,"Williams, Mrs. Charles",female,39.4,3,2,33.24,,S
215,1,3,"Davis, Mrs. William",female,,0,0,17.58,,Q
322,0,3,"Wilson, Mr. Robert",male,,1,0,22.2,,S
26,1,3,"Wilson, Mr. Richard",male,25.2,0,0,50.23,D50,S
170,0,3,"Jones, Mr. Karen",male,5.7,0,0,29.54,,S
192,1,3,"Taylor, Mr. Linda",male,22.8,0,0,17.82,,S
275,0,3,"Thomas, Mr. Mary",male,48.4,0,0,35.76,A59,Q
95,0,3,"Lopez, Mr. Linda",male,28.5,0,0,56.23,,C
176,1,1,"Martin, Mrs. Richard",female,43.7,2,1,53.28,,C
101,1,1,"Miller, Mrs. Jessica",female,33.3,4,0,45.25,,S
141,1,3,"Davis, Mrs. Thomas",female,20.9,4,3,33.68,C39,S
67,0,1,"Jones, Mr. Robert",male,25.6,0,0,51.03,,C
247,0,2,"Williams, Mr. Jessica",male,,0,0,51.13,,S
278,0,3,"Lopez, Mr. Barbara",male,31.1,0,0,16.49,,Q
69,0,1,"Moore, Mr. Patricia",male,39.0,0,0,67.22,,S
63,1,3,"Martinez, Mrs. David",female,,1,0,55.99,,S
269,1,2,"Martinez, Mr. Karen",male,,0,0,41.26,,S
125,1,1,"Martinez, Mrs. Michael",female,36.2,3,1,63.27,A31,S
106,0,2,"Martinez, Mr. Thomas",male,26.4,2,0,37.13,,S
229,0,3,"Rodriguez, Mr. Patricia",male,20.1,1,0,33.96,,S
35,0,3,"Garcia, Mr. John",male,65.0,0,0,26.97,,S
272,1,3,"Gonzalez, Mrs. Robert",female,36.1,0,0,23.49,D54,S
73,0,1,"Hernandez, Mr. Sarah",male,13.9,0,0,57.34,,S
340,0,1,"Hernandez, Mr. Richard",male,,0,0,,D82,
71,0,3,"Martin, Mr. Jennifer",male,23.9,0,0,17.35,,S
254,0,2,"Thomas, Mrs. Jessica",female,18.8,0,0,61.12,,S
124,1,1,"Wilson, Mrs. Linda",female,29.4,1,0,80.6,,S
139,0,2,"Thomas, Mr. Sarah",male,17.0,0,0,74.61,,S
365,1,3,"Anderson, Mr. Karen",male,28.9,0,1,32.77,C40,C
387,0,2,"Miller, Mr. Mary",male,41.5,0,0,31.29,,S
135,1,3,"Thomas, Mrs. Thomas",female,15.7,0,1,22.62,,S
227,0,3,"Brown, Mr. Richard",male,33.0,3,0,35.22,,S
134,0,2,"Williams, Mr. Barbara",male,43.8,0,0,41.26,,C
121,0,3,"Davis, Mr. Linda",male,3.2,2,2,53.72,,S
84,0,1,"Moore, Mr. Karen",male,9.3,1,0,84.09,,S
267,0,3,"Davis, Mr. John",male,37.2,1,1,24.39,A21,C
375,1,1,"Gonzalez, Mrs. Michael",female,15.0,3,1,123.99,,S
193,0,3,"Jackson, Mr. Karen",male,49.3,0,1,21.42,,S
207,1,1,"Hernandez, Mr. Linda",male,51.1,0,0,50.96,,C
43,1,1,"Davis, Mr. David",male,28.5,1,0,65.11,,S
83,1,2,"Wilson, Mr. Susan",male,19.1,1,0,36.57,,S
129,0,1,"Moore, Mr. Jennifer",male,20.4,2,1,67.12,,S
382,0,3,"Garcia, Mr. Barbara",male,41.9,0,0,17.31,,S
187,0,3,"Moore, Mr. Thomas",male,32.1,1,0,29.16,,C
153,1,1,"Thomas, Mr. Michael",male,37.9,1,0,72.22,,S
351,0,3,"Taylor, Mr. Patricia",male,30.8,1,1,30.25,,C
19,1,2,"Taylor, Mrs. Mary",female,,2,1,54.77,,C
33,1,1,"Smith, Mr. Linda",male,25.2,2,2,48.06,D19,S
212,1,3,"Garcia, Mrs. Sarah",female,16.1,0,1,24.68,F92,C
222,0,3,"Jackson, Mr. Jennifer",male,38.4,0,0,37.09,,C
44,0,3,"Smith, Mr. Jennifer",male,21.4,2,0,17.7,,S
97,0,3,"Davis, Mr. Linda",male,30.6,0,0,39.33,B58,C
2,0,3,"Gonzalez, Mrs. Michael",female,35.6,0,0,37.05,,S
154,0,3,"Brown, Mr. Linda",male,42.6,1,0,29.12,,S
357,0,1,"Hernandez, Mr. Richard",MALE  ,22.7,0,0,51.45,,S
181,0,2,"Moore, Mr. Richard",male,42.1,0,0,83.69,,C
158,1,3,"Jackson, Mr. Richard",male,25.5,0,1,23.98,,C
64,0,2,"Martin, Mr. Jessica",male,35.9,0,0,59.05,,S
248,1,3,"Taylor, Mrs. Joseph",female,33.7,0,1,52.36,,S
326,1,3,"Thomas, Mrs. Patricia",female,14.0,1,0,23.38,E43,S
357,0,1,"Hernandez, Mr. Richard",male,22.7,0,0,51.45,,S
61,0,2,"Brown, Mr. Charles",male,39.1,0,0,51.18,,S
396,0,3,"Anderson, Mrs. Barbara",female,31.8,0,1,40.65,D41,S
13,0,3,"Thomas, Mrs. Linda",female,26.8,0,0,16.65,,C
143,0,3,"Anderson, Mr. Joseph",male,64.8,3,0,32.91,,S
343,1,1,"Brown, Mrs. Jennifer",female,,0,0,,,
286,0,1,"Smith, Mr. Elizabeth",male,29.7,0,0,57.1,,C
347,0,3,"Martinez, Mr. Karen",male,19.5,0,0,20.17,,Q
376,1,2,"Taylor, Mr. Mary",male,25.1,0,0,40.47,,S
204,0,3,"Gonzalez, Mr. Susan",male,23.9,0,0,15.03,,S
311,1,2,"Hernandez, Mrs. Joseph",female,,2,0,94.95,,S
205,1,3,"Davis, Mr. Linda",male,,1,0,35.23,,S
90,1,3,"Gonzalez, Mrs. Richard",female,52.8,0,0,80.83,,C
302,1,3,"Taylor, Mr. Mary",male,14.6,1,0,61.07,,C
46,1,3,"Lopez, Mrs. David",female,30.5,0,0,22.86,,Q
39,1,3,"Wilson, Mrs. Linda",female,31.8,0,0,23.69,,S
236,0,3,"Davis, Mr. Jessica",male,21.0,2,1,18.07,,S
213,0,3,"Garcia, Mr. Robert",male,14.9,0,0,27.18,,Q
377,0,3,"Lopez, Mr. Elizabeth",MALE  ,54.2,3,2,50.15,,S
158,1,3,"Jackson, Mr. Richard",male,25.5,0,1,23.98,,C
281,0,3,"Miller, Mrs. Joseph",female,34.2,0,0,37.61,,S
94,0,3,"Hernandez, Mr. Linda",male,34.6,0,1,21.61,E10,S
210,1,1,"Hernandez, Mrs. Thomas",female,25.1,0,0,68.2,C97,Q
189,0,3,"Moore, Mr. Susan",male,,3,3,28.61,,S
240,0,1,"Thomas, Mr. Barbara",male,37.9,0,0,58.31,,S
89,1,3,"Garcia, Mrs. John",FEMALE  ,0.5,0,0,15.36,,S
268,1,3,"Davis, Mr. Sarah",male,24.0,4,0,18.65,E33,Q
113,1,3,"Hernandez, Mrs. Mary",female,34.7,0,0,59.57,F12,Q
362,0,3,"Rodriguez, Mr. William",male,,2,0,94.25,,Q
400,1,3,"Martin, Mrs. Robert",female,34.9,0,0,23.89,,S
147,0,3,"Moore, Mr. Richard",MALE  ,28.5,0,1,17.2,,S
342,0,3,"Wilson, Mr. Barbara",male,47.6,1,1,19.5,,S
47,1,2,"Martinez, Mrs. John",female,25.4,3,0,53.19,,S
378,0,1,"Moore, Mrs. David",female,38.0,0,0,73.92,,C
173,1,3,"Gonzalez, Mr. Richard",male,,0,0,,,
105,0,3,"Martin, Mrs. Robert",female,31.4,0,1,22.05,,S
263,0,1,"Taylor, Mr. David",male,22.1,1,0,54.28,,Q
131,1,2,"Wilson, Mrs. Robert",female,16.1,0,2,72.24,,C
174,0,1,"Martinez, Mr. Sarah",male,11.1,0,0,45.75,,S
259,0,3,"Garcia, Mr. Joseph",male,,0,0,64.69,,Q
100,1,1,"Wilson, Mrs. David",female,28.2,0,1,50.54,,Q
266,0,3,"Moore, Mr. John",male,54.9,1,0,38.32,D94,Q
308,1,2,"Wilson, Mrs. Richard",female,,0,0,65.06,E8,S
239,0,3,"Rodriguez, Mr. Joseph",MALE  ,21.3,1,1,21.99,C32,S
196,0,2,"Lopez, Mr. Karen",male,8.2,2,0,40.59,,S
291,0,1,"Anderson, Mr. Thomas",male,24.7,0,0,59.08,E87,S
310,1,2,"Anderson, Mrs. Charles",female,28.1,1,3,36.8,,S
138,0,3,"Rodriguez, Mr. Richard",male,31.6,0,0,33.42,,C
17,0,2,"Lopez, Mr. David",MALE  ,40.5,0,1,64.19,,S
190,0,2,"Moore, Mr. Richard",male,16.5,0,0,54.23,,S
185,0,2,"Jones, Mr. Thomas",male,22.9,0,0,32.42,,S
92,0,3,"Taylor, Mr. Jennifer",male,27.6,2,2,22.27,,S
277,0,3,"Jackson, Mr. David",male,26.7,0,0,23.33,D98,C
276,1,3,"Smith, Mrs. Linda",female,,2,0,35.26,C68,S
160,0,3,"Miller, Mr. Linda",male,37.7,0,1,15.93,,S
233,1,3,"Martinez, Mr. Sarah",male,20.1,0,0,61.55,F50,S
333,1,1,"Miller, Mrs. Barbara",female,11.5,0,0,56.74,,S
102,0,3,"Gonzalez, Mr. Joseph",male,5.1,3,0,27.65,,Q
341,0,3,"Jones, Mr. Jennifer",male,38.0,4,0,34.39,,S
301,0,1,"Garcia, Mr. Robert",male,44.0,0,0,51.83,,S
40,1,2,"Miller, Mr. Linda",male,27.0,0,0,66.83,,S
398,0,2,"Wilson, Mr. Elizabeth",male,,0,0,32.89,,C
18,0,3,"Anderson, Mr. Jessica",male,,0,0,30.57,,C
331,0,2,"Miller, Mr. Richard",MALE  ,25.6,0,1,47.37,,S
72,0,1,"Wilson, Mrs. David",female,45.2,1,0,56.85,,C
168,1,1,"Martinez, Mr. John",male,35.4,0,0,51.59,,S
21,0,3,"Jackson, Mrs. Sarah",female,24.3,1,0,27.74,,S
214,1,1,"Gonzalez, Mr. Charles",male,18.3,1,1,54.21,,S
299,0,3,"Anderson, Mr. Richard",male,22.7,0,2,43.23,,S
279,1,3,"Miller, Mrs. Richard",female,,0,2,25.54,,Q
230,0,3,"Wilson, Mr. Charles",male,,2,0,56.38,D34,S
145,0,2,"Taylor, Mr. William",male,45.1,2,0,35.42,,C
255,1,1,"Smith, Mr. Mary",MALE  ,28.5,0,1,56.83,E1,S
285,1,3,"Anderson, Mrs. James",FEMALE  ,,0,0,103.52,,
296,0,3,"Garcia, Mr. John",male,32.9,1,0,24.82,,S
171,0,3,"Rodriguez, Mr. Karen",male,35.0,0,0,15.11,,Q
201,0,3,"Johnson, Mr. Jessica",male,21.8,0,1,49.72,,S
380,0,2,"Jackson, Mr. Sarah",male,37.0,0,0,92.49,,S
309,0,3,"Miller, Mr. Barbara",male,50.9,0,0,97.72,,S
70,1,3,"Taylor, Mrs. Elizabeth",female,35.2,0,0,31.44,,S
246,1,3,"Williams, Mrs. Robert",female,23.6,0,0,41.13,,S
367,1,3,"Thomas, Mrs. Joseph",female,,0,1,21.73,,S
194,0,3,"Anderson, Mr. William",MALE  ,31.8,2,0,25.04,B12,Q
206,1,1,"Lopez, Mr. James",male,49.3,0,0,46.05,,S
226,0,2,"Taylor, Mr. David",male,,0,0,30.2,A7,S
330,0,2,"Hernandez, Mr. William",male,32.4,0,2,38.53,,Q
114,0,3,"Moore, Mrs. Michael",female,5.2,1,0,19.1,,C
227,0,3,"Brown, Mr. Richard",male,33.0,3,0,35.22,,S
183,0,3,"Davis, Mr. Joseph",male,30.3,0,2,16.82,,S
381,1,1,"Williams, Mrs. Jessica",female,48.6,0,1,49.47,,S
337,0,3,"Garcia, Mr. Sarah",male,33.8,0,0,116.82,,C
300,0,1,"Taylor, Mr. John",male,31.7,3,0,57.27,,S
335,0,1,"Martinez, Mr. Jessica",male,27.8,0,0,58.42,B67,S
186,0,3,"Thomas, Mr. Mary",male,24.7,1,0,23.47,,S
220,1,3,"Jackson, Mrs. Michael",female,26.0,0,0,23.76,,S
133,1,1,"Davis, Mrs. Susan",female,15.3,1,0,59.57,,C
348,0,1,"Garcia, Mr. Jessica",male,54.2,2,0,111.5,,Q
178,1,2,"Smith, Mrs. James",female,38.5,0,0,46.97,,Q
319,0,1,"Moore, Mr. James",male,32.4,0,0,73.7,D89,Q
327,0,3,"Gonzalez, Mr. Richard",male,7.6,0,0,21.3,,S
317,1,2,"Davis, Mrs. Thomas",female,14.7,0,1,46.14,,S
20,1,2,"Moore, Mrs. Barbara",female,10.9,1,0,37.55,,S
352,0,3,"Brown, Mrs. Thomas",female,19.5,0,1,55.8,,S
118,0,1,"Martin, Mrs. Joseph",female,,0,0,45.71,D17,S
49,0,3,"Anderson, Mr. Jessica",male,0.5,1,2,18.84,B12,S
224,0,2,"Jones, Mr. Charles",male,,0,0,38.99,,S
368,0,3,"Martinez, Mrs. Susan",female,41.3,0,2,19.54,,S
389,0,3,"Miller, Mr. Joseph",male,43.7,1,0,26.9,,C
148,1,3,"Thomas, Mrs. William",female,53.8,1,0,24.71,,S
66,1,3,"Wilson, Mr. Mary",male,,0,0,36.87,,C
211,0,3,"Smith, Mr. Linda",male,10.2,0,0,17.43,,Q
384,0,3,"Anderson, Mr. Jessica",male,19.9,0,2,26.57,C45,S
318,1,1,"Miller, Mrs. David",female,38.9,1,0,60.6,,C
117,0,3,"Garcia, Mr. Elizabeth",male,32.6,3,0,46.65,,S
290,0,3,"Thomas, Mr. Linda",male,59.3,0,0,15.56,,S
242,0,3,"Johnson, Mr. John",male,7.8,0,0,15.89,,Q
273,1,3,"Gonzalez, Mr. Jennifer",male,,0,2,18.36,C82,S
395,1,2,"Thomas, Mr. Patricia",male,53.3,4,0,53.28,,S
354,0,1,"Jones, Mr. Jennifer",male,19.9,0,0,76.26,,S
9,1,3,"Brown, Mrs. Elizabeth",female,29.8,0,0,31.41,,S
262,1,3,"Jones, Mrs. Jennifer",female,21.6,0,0,32.45,,S
112,0,1,"Jackson, Mr. Susan",male,15.3,0,0,62.99,,S
305,0,3,"Garcia, Mr. Sarah",male,45.7,0,0,22.54,,S
264,0,3,"Thomas, Mr. Barbara",male,43.6,0,0,33.38,,S
38,1,1,"Thomas, Mrs. Jennifer",female,28.7,0,1,64.4,,C
111,0,2,"Taylor, Mr. Elizabeth",male,31.7,0,1,52.04,,C
119,1,3,"Jones, Mrs. Karen",female,52.3,0,0,32.48,,C
391,0,3,"Lopez, Mr. Richard",MALE  ,47.4,0,0,34.7,,S
234,0,3,"Thomas, Mr. Linda",male,45.6,0,0,16.38,,Q
298,0,1,"Anderson, Mr. Linda",male,31.6,0,0,45.47,C83,S
24,0,2,"Garcia, Mr. John",male,8.0,0,0,38.86,,S
271,0,3,"Hernandez, Mr. Robert",MALE  ,,1,0,59.16,,S
324,1,2,"Anderson, Mrs. Patricia",female,27.6,1,0,34.33,,S
91,0,1,"Johnson, Mr. Robert",male,32.0,0,0,70.94,,S
77,0,3,"Martinez, Mr. Charles",male,33.6,0,2,90.27,B32,S
109,1,1,"Martin, Mrs. Michael",female,21.4,0,0,91.64,C16,S
29,0,3,"Anderson, Mr. Joseph",male,25.8,0,0,39.9,,C
257,0,3,"Taylor, Mr. Karen",male,21.8,0,0,49.57,,S
163,0,3,"Williams, Mr. Richard",male,34.3,0,0,86.18,,S
36,0,3,"Anderson, Mrs. Robert",female,29.8,0,0,42.63,,S
370,1,1,"Rodriguez, Mrs. Susan",female,29.4,0,0,54.77,C60,S
284,1,1,"Davis, Mrs. Robert",female,46.9,1,1,49.92,,S
179,1,3,"Anderson, Mr. Richard",male,29.4,0,1,29.38,,S
82,0,3,"Anderson, Mrs. Thomas",female,,0,1,65.04,A98,S
164,0,3,"Johnson, Mr. Jessica",male,37.5,1,0,23.05,,S
58,0,1,"Williams, Mr. John",male,53.5,0,2,49.78,,C
345,0,2,"Anderson, Mr. Linda",male,27.7,0,0,42.91,,S
122,0,3,"Davis, Mr. Barbara",male,11.1,0,0,29.74,D87,S
27,1,1,"Brown, Mr. Michael",male,0.5,2,0,53.17,,S
243,1,3,"Martinez, Mr. William",male,,0,0,17.63,C59,S
5,1,1,"Jackson, Mr. Barbara",male,,0,1,87.73,E64,S
78,1,1,"Smith, Mr. Michael",male,11.5,0,0,47.35,,S
363,0,3,"Martinez, Mr. Charles",male,15.5,2,0,28.21,,S
136,0,2,"Smith, Mrs. Elizabeth",female,65.9,0,0,41.4,,S
219,1,3,"Johnson, Mrs. Linda",female,,0,1,16.67,,S
305,0,3,"Garcia, Mr. Sarah",MALE  ,45.7,0,0,22.54,,S
156,1,2,"Taylor, Mr. Thomas",MALE  ,7.0,0,0,31.47,C76,S
250,0,3,"Rodriguez, Mr. Barbara",male,57.1,2,0,26.24,F75,S
356,0,3,"Martin, Mrs. Jessica",female,2.5,1,1,46.62,F19,S
228,1,2,"Martin, Mrs. Thomas",female,,0,0,78.9,C52,S
373,0,1,"Martinez, Mr. John",male,,0,0,62.22,,
3,0,3,"Martin, Mr. Thomas",male,55.3,0,0,35.14,,S
37,0,2,"Wilson, Mr. Sarah",male,29.2,2,0,51.06,,C
30,0,1,"Brown, Mr. Jennifer",male,,1,0,79.97,,
6,1,1,"Miller, Mrs. William",female,,0,0,56.15,,Q
33,1,1,"Smith, Mr. Linda",male,25.2,2,2,48.06,D19,S
116,0,3,"Martin, Mr. Sarah",male,35.6,0,0,20.48,,C
157,0,3,"Jones, Mr. Jennifer",male,18.8,1,0,20.87,,S
328,1,3,"Johnson, Mrs. John",female,19.3,0,0,82.87,D63,S
288,0,3,"Taylor, Mr. Jennifer",male,39.4,0,0,18.03,,S
359,0,3,"Rodriguez, Mrs. Barbara",female,6.8,0,0,72.66,,S
369,0,1,"Martinez, Mr. Susan",male,25.9,0,0,73.69,,C
75,0,3,"Lopez, Mr. Robert",male,37.3,0,0,30.82,A84,S
260,0,1,"Wilson, Mr. Karen",male,45.6,0,0,56.28,,C
144,0,2,"Miller, Mrs. Richard",female,27.7,0,0,54.26,,S
42,0,3,"Moore, Mrs. Mary",female,21.3,0,0,92.36,,S
11,1,1,"Lopez, Mr. Elizabeth",male,5.3,3,0,70.41,,C
180,0,1,"Taylor, Mr. Linda",male,29.4,0,0,51.95,C26,S
8,0,3,"Thomas, Mr. John",male,27.2,1,0,15.25,,C
209,1,1,"Hernandez, Mr. Michael",male,23.1,1,0,63.52,,S
149,0,1,"Lopez, Mr. Barbara",male,20.2,2,0,58.38,,C
306,1,3,"Moore, Mrs. Patricia",female,7.7,0,0,58.86,,S
316,1,3,"Thomas, Mrs. Barbara",female,22.0,2,0,18.35,C80,S
379,1,3,"Thomas, Mrs. Thomas",female,21.0,0,0,32.04,,S
383,0,3,"Hernandez, Mr. Joseph",male,,0,1,53.48,,Q
98,0,2,"Taylor, Mr. Karen",male,31.1,0,0,45.56,,Q
216,1,1,"Taylor, Mrs. John",female,32.3,0,0,55.86,,S
392,0,2,"Hernandez, Mr. Thomas",MALE  ,31.8,4,0,82.18,E77,S
80,0,1,"Anderson, Mr. Linda",male,26.4,1,0,45.86,,S
231,1,3,"Williams, Mrs. Susan",female,20.3,0,3,40.75,D43,Q
372,1,1,"Thomas, Mrs. Mary",female,,0,1,58.56,F85,C
120,0,3,"Williams, Mr. Robert",male,43.2,0,0,122.8,,S
390,1,3,"Wilson, Mrs. Linda",female,,0,2,29.28,,Q
142,0,2,"Anderson, Mr. Elizabeth",male,30.7,0,2,49.96,,S
16,0,1,"Lopez, Mr. Elizabeth",MALE  ,5.8,0,0,84.06,,C
128,0,3,"Jones, Mr. Patricia",male,18.4,0,1,63.08,F87,S
87,0,3,"Anderson, Mr. Barbara",male,11.1,0,0,43.05,,C
172,1,1,"Miller, Mrs. Patricia",female,,0,0,45.15,,S
28,0,3,"Martinez, Mrs. Michael",female,28.2,0,0,18.82,F75,S
274,1,3,"Jones, Mr. William",male,45.4,0,0,15.52,,S
235,1,1,"Smith, Mr. Barbara",male,,1,0,60.27,,C
237,0,2,"Moore, Mr. Patricia",male,17.3,0,0,30.24,,S
151,0,3,"Miller, Mr. John",male,38.9,0,0,75.13,,Q
346,0,3,"Rodriguez, Mrs. Robert",female,49.2,1,0,30.66,B55,S
68,0,3,"Jackson, Mrs. Barbara",female,,0,0,62.55,,C
225,1,2,"Martin, Mr. Patricia",male,31.3,0,0,48.01,A41,C
226,0,2,"Taylor, Mr. David",male,,0,0,30.2,A7,S
41,1,1,"Gonzalez, Mr. Jennifer",male,21.0,1,0,57.75,,S
353,0,3,"Rodriguez, Mr. Charles",male,40.8,0,0,17.8,,S
261,0,3,"Anderson, Mr. Susan",male,64.4,4,0,22.68,,C
132,0,1,"Garcia, Mrs. Elizabeth",female,10.1,2,0,61.96,,S
397,1,3,"Jones, Mrs. Jessica",female,19.9,0,1,38.59,B41,S
358,0,3,"Martinez, Mr. John",male,0.5,3,0,56.93,,C
197,1,3,"Smith, Mrs. Karen",female,32.7,0,0,62.63,A13,Q
54,1,3,"Williams, Mrs. Jennifer",female,23.8,0,0,35.59,,S
126,0,2,"Taylor, Mr. Patricia",male,,1,0,,,
10,0,3,"Jones, Mr. Elizabeth",male,44.3,4,0,29.99,,S
79,1,2,"Brown, Mrs. James",female,,0,0,40.98,,C
297,0,3,"Wilson, Mr. Susan",male,,0,2,18.49,,Q
32,1,1,"Martin, Mrs. Barbara",female,44.8,2,1,50.49,B9,Q
338,1,3,"Moore, Mrs. Robert",female,35.4,0,0,57.46,,S
76,0,3,"Rodriguez, Mrs. William",female,24.7,1,0,24.57,,S
334,0,1,"Jackson, Mr. Michael",male,49.2,0,0,64.68,A68,S
159,1,1,"Wilson, Mrs. Patricia",female,28.0,0,0,57.79,,S
55,0,3,"Wilson, Mr. Sarah",male,9.3,0,0,38.69,,S
251,0,2,"Anderson, Mr. Mary",male,26.5,0,0,52.35,,S
329,0,2,"Davis, Mr. Joseph",male,,0,0,,,
166,0,3,"Davis, Mr. Jennifer",male,,0,3,19.37,,S
265,0,3,"Anderson, Mr. Patricia",male,38.5,0,0,39.46,B33,Q
52,0,3,"Hernandez, Mr. Charles",male,0.5,2,0,51.29,,S
108,1,3,"Anderson, Mrs. Susan",female,,0,0,15.99,,C
60,1,2,"Martinez, Mr. Charles",male,46.8,0,0,37.25,,S
293,0,3,"Taylor, Mr. Jennifer",male,32.5,4,0,24.7,,S
336,0,1,"Williams, Mrs. Elizabeth",female,44.6,0,0,55.28,,S
86,1,2,"Smith, Mrs. David",female,,2,0,78.33,,S
364,0,3,"Anderson, Mrs. Robert",female,28.3,0,0,54.84,B99,S
182,1,1,"Wilson, Mrs. Linda",female,21.8,0,0,55.12,,C
200,0,3,"Williams, Mr. David",male,43.9,0,0,22.4,,S
238,0,1,"Garcia, Mr. Barbara",male,35.6,0,0,55.96,,S
232,1,3,"Davis, Mrs. James",female,21.2,0,2,17.57,,S
199,0,3,"Smith, Mr. Barbara",male,30.2,0,0,33.73,,C
385,0,3,"Martinez, Mr. Barbara",male,38.8,0,0,52.54,,S
280,0,3,"Davis, Mrs. William",female,17.6,0,0,22.46,,Q
332,1,3,"Johnson, Mrs. Linda",female,33.9,2,0,18.0,,S
355,0,1,"Williams, Mr. James",male,,0,3,47.67,,S
191,0,1,"Hernandez, Mr. Jessica",male,26.4,0,0,143.72,,S
23,0,2,"Anderson, Mr. John",male,25.4,0,0,42.3,,S
223,1,1,"Johnson, Mr. Jennifer",male,,1,0,67.71,,S
115,0,3,"Lopez, Mr. Mary",MALE  ,43.4,0,2,16.65,,Q
152,0,1,"Thomas, Mrs. Sarah",female,21.1,0,0,63.36,,S
177,0,3,"Taylor, Mr. Patricia",male,28.4,0,0,47.45,,S
188,0,3,"Miller, Mr. Richard",male,22.3,1,1,56.46,C72,S
74,1,3,"Moore, Mrs. David",female,37.6,0,0,54.99,E80,S
218,1,3,"Taylor, Mr. Charles",male,15.0,0,0,16.47,C47,S
241,0,3,"Wilson, Mr. Richard",male,31.8,1,0,32.22,,S
146,1,1,"Davis, Mr. Karen",male,19.2,1,0,59.36,,S
51,1,3,"Williams, Mrs. Karen",female,46.4,0,1,20.15,,S
256,0,3,"Williams, Mr. Karen",male,54.1,0,1,47.03,,S
96,0,3,"Hernandez, Mr. Karen",male,,2,0,17.39,,S
99,1,1,"Martin, Mrs. Jessica",female,23.9,0,0,47.03,D45,S
208,0,3,"Martinez, Mr. Charles",male,,0,0,16.23,D57,S
